publisher_id,publisher_name,contact_name,phone,email,address,country,website
1,WCB/McGraw-Hill,Editorial Department,+1-201-363-7264,info@mheducation.com,"639 7th Avenue, Publishing Center, New York, NY",United States,https://www.mheducation.com
2,Pearson,Rights Department,+44-20-9918-218,rights@pearson.com,"679 24th Avenue, Book House, Basingstoke",United Kingdom,https://www.pearson.com
3,Pearson Prentice Hall,Academic Sales,+44-20-7206-221,contact@pearson.com,"619 51th Avenue, Book House, Oxford",United Kingdom,https://www.pearson.com
4,Cengage Learning,Sales Department,+1-617-178-5817,sales@cengage.com,"195 55th Avenue, Publishing Center, Chicago, IL",United States,https://www.cengage.com
5,Springer International Publishing AG,Book Distribution,+49-30-2623-878,editorial@springer.com,"216 52th Avenue, Verlagshaus, Heidelberg",Germany,https://www.springer.com
6,Addison Wesley Longman,Academic Sales,+1-646-145-0309,sales@pearson.com,"562 71th Avenue, Publishing Center, Chicago, IL",United States,https://www.pearson.com
7,Macmillan,Publishing Office,+44-20-6380-116,info@macmillan.com,"744 53th Avenue, Book House, Oxford",United Kingdom,https://www.macmillan.com
8,Course Technology Ptr (Sd),Book Distribution,+1-312-386-7374,rights@course-technology-ptr-sd.com,"949 24th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.course-technology-ptr-sd.com
9,Mcgraw-hill Education,Academic Sales,+1-312-203-7181,sales@mheducation.com,"350 9th Avenue, Publishing Center, Chicago, IL",United States,https://www.mheducation.com
10,Addison-Wesley,Rights Department,+1-201-979-9018,info@pearson.com,"108 15th Avenue, Publishing Center, New York, NY",United States,https://www.pearson.com
11,McGraw-Hill Science/Engineering/Math,Sales Department,+1-201-248-7657,service@mheducation.com,"865 58th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.mheducation.com
12,McGraw-Hill College,Editorial Department,+1-646-342-1816,info@mheducation.com,"184 76th Avenue, Publishing Center, New York, NY",United States,https://www.mheducation.com
13,"Pearson Education, Limited",Editorial Department,+44-20-3044-128,info@pearson.com,"363 36th Avenue, Book House, Basingstoke",United Kingdom,https://www.pearson.com
14,Addison Wesley,Academic Sales,+1-617-640-2653,contact@pearson.com,"411 12th Avenue, Publishing Center, Boston, MA",United States,https://www.pearson.com
15,Pitman,Academic Sales,+1-617-549-9093,service@pitman.com,"168 46th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.pitman.com
