store_id,store_name,city,address,phone,manager_name,status,created_at
1,Classic Readers,West Yvonne,"87 Matthews Radial, Cooperland, PO9 2JY",(0161) 496 0957,Sylvia Taylor,active,2026/6/1 10:41
2,Bound Folio,North Jenniferton,"05785 Herrera Route Suite 715, Hughestown, NM 81163",001-834-553-9351x541,Amy Williams,active,2026/6/1 10:41
3,Classic Bookstore,New Coreymouth,"006 Sean Valley, West Thomasmouth, MP 93761",(806)665-0455x4954,Logan Wright,active,2026/6/1 10:41
4,Corner Press,Port Karlberg,"Studio 52, Steven Locks, Foxchester, E5 5TS",+44(0)1414960052,Diane Rogers,active,2026/6/1 10:41
5,Chapter Readers,Aliburgh,"934 Brown Road, Rodriguezfort, MD 97036",+1-661-325-0016x649,Katherine Jensen,active,2026/6/1 10:41
6,Page Editions,Jenniferborough,"46815 Harding Parkways Apt. 556, Sarahberg, ID 50162",462.807.4400,Sara Brown,active,2026/6/1 10:41
7,Ink Folio,Valdezfort,"579 Victoria Estate, West Thomas, WY 49196",288-777-1726,Ashley Alvarez,active,2026/6/1 10:41
8,Classic Bookstore,Stephaniefort,"021 Brianna Junctions Apt. 740, West Jessica, KS 34273",(953)328-4135,Lisa Roberts,active,2026/6/1 10:41
9,Bound Press,Port Lynnside,"Flat 81z, Carter Fall, Port Joanfurt, CV94 5BD",+44(0)289018987,Bryan Williams-White,active,2026/6/1 10:41
10,Chapter Editions,Lambertside,"562 Mitchell Junctions Suite 112, Kellychester, WA 24487",2766974027,Joshua Johnson,active,2026/6/1 10:41
11,Classic Folio,South Sarah,"6075 Leonard Loaf Apt. 546, West Kevinfort, ND 63755",-6403,Eddie Smith,active,2026/6/1 10:41
12,Page Bookstore,Lake Kyle,"5191 Angela Stravenue Suite 268, Jamiefurt, AZ 93584",(653)969-0752x804,Julie Bailey,active,2026/6/1 10:41
13,Classic Editions,Sarahfurt,"672 Elizabeth Loop Suite 805, Bishopborough, KS 50951",-2376,Brandon Sawyer Jr.,active,2026/6/1 10:41
14,Page Press,Victorview,"3527 William Rapid, Hendersonville, SC 29702",709.376.5306x4822,Mike Johnston,active,2026/6/1 10:41
15,Corner Editions,Kristinstad,"8055 Adam Club, Lloydtown, MH 43846",-8897,Brent Thompson,inactive,2026/6/1 10:41
16,Literary Press,Whitefurt,"Flat 0, Talbot Streets, Lake Kennethton, BD53 6HY",(0909) 8790988,Declan Tucker-Moss,active,2026/6/1 10:41
17,Urban Editions,North Christianberg,"107 Jeffrey Forge Apt. 309, Port Matthew, IN 55062",(599)233-4223x3282,Leah Hughes,active,2026/6/1 10:41
18,Ink Folio,Ericchester,"64 Mohammed Meadows, Robertsonton, BT8P 3EZ",+44191 496 0746,Arthur Phillips,active,2026/6/1 10:41
19,Literary Books,North Jennifer,"307 Vance Way Suite 274, Barrfort, GA 18157",(844)399-6341x30470,Christina Miller,inactive,2026/6/1 10:41
20,Literary Editions,Ashleybury,"15084 Smith Common, West Jenniferberg, FL 53008",823-372-8269x85876,Amy Flores,active,2026/6/1 10:41
